name,county,state,full_fips,current_mw,construction_mw,planned_mw,current_plus_construction_mw,total_mw,rto,pricing_zone,interconnection,data_availability,migration_role,,,,,,,,,,,
"Cumberland County, NJ",Cumberland,New Jersey,34011,100,100,400,200,600,PJM,PSEG,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Mayes County, OK",Mayes,Oklahoma,40097,570,0,0,570,570,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Oldham County, KY",Oldham,Kentucky,21185,0,0,565,0,565,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Berkeley County, SC",Berkeley,South Carolina,45015,310,0,230,310,540,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Adams County, CO",Adams,Colorado,8001,33.5,0,482,33.5,515.5,WECC-nonISO,PALO_VERDE,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Allen County, IN",Allen,Indiana,18003,105,240,160,345,505,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Jefferson County, KY",Jefferson,Kentucky,21111,17.89,155,331.5,172.89,504.39,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"McLennan County, TX",McLennan,Texas,48309,1.3,100,400,101.3,501.3,ERCOT,LZ_SOUTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Walla Walla County, WA",Walla Walla,Washington,53071,0.4,0,500,0.4,500.4,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"McCulloch County, TX",McCulloch,Texas,48307,0,100,400,100,500,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Walker County, TX",Walker,Texas,48471,0,100,400,100,500,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Van Wert County, OH",Van Wert,Ohio,39161,0,0,500,0,500,PJM,AEP,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Prince Edward County, VA",Prince Edward,Virginia,51147,0,0,500,0,500,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Alexandria city, VA",Alexandria,Virginia,51510,0,0,500,0,500,PJM,DOM,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Rowan County, NC",Rowan,North Carolina,37159,9.6,0,480,9.6,489.6,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Crook County, OR",Crook,Oregon,41013,476,0,5,476,481,WECC-nonISO,MID-C,Western,bilateral_hub_proxy,cross_ic_destination,,,,,,,,,,,
"Lake County, IL",Lake,Illinois,17097,0,60,420,60,480,PJM,COMED,Eastern,public_zonal,source,,,,,,,,,,,
"Boone County, IN",Boone,Indiana,18011,0,40,440,40,480,MISO,MISO_INDIANA_HUB,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Spalding County, GA",Spalding,Georgia,13255,0,0,480,0,480,non-ISO,NO_LMP,Eastern,none,same_ic,,,,,,,,,,,
"Muskogee County, OK",Muskogee,Oklahoma,40101,200,270,0,470,470,SPP,SPP_HUB,Eastern,public_hub,same_ic,,,,,,,,,,,
"Genesee County, NY",Genesee,New York,36037,0,50,420,50,470,NYISO,ZONE_F,Eastern,public_zonal,same_ic,,,,,,,,,,,
"Pecos County, TX",Pecos,Texas,48371,155,0,300,155,455,ERCOT,LZ_WEST,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
"Denton County, TX",Denton,Texas,48121,348.23,103,0,451.23,451.23,ERCOT,LZ_NORTH,ERCOT,public_settlement_point,cross_ic_destination,,,,,,,,,,,
